time_ps,lig_rmsd_A,com_drift_A
0.0,1.436,1.181
50.0,0.725,0.257
100.0,1.308,0.828
150.0,0.985,0.741
200.0,1.404,1.191
250.0,1.193,1.081
300.0,1.486,1.158
350.0,1.267,1.089
400.0,1.488,1.156
450.0,1.435,1.301
500.0,1.293,1.135
550.0,0.789,0.322
600.0,1.117,0.965
650.0,1.611,1.489
700.0,1.107,0.832
750.0,1.177,0.742
800.0,0.842,0.699
850.0,1.749,1.397
900.0,1.703,1.441
950.0,1.720,1.538
1000.0,1.556,1.410
1050.0,2.041,1.871
1100.0,1.637,1.066
1150.0,2.740,2.348
1200.0,2.637,1.930
1250.0,2.255,1.891
1300.0,2.393,1.830
1350.0,3.080,2.830
1400.0,2.617,2.265
1450.0,2.227,1.792
1500.0,1.948,1.863
1550.0,1.395,1.246
1600.0,1.594,1.452
1650.0,1.606,1.413
1700.0,1.201,0.973
1750.0,1.872,1.740
1800.0,2.102,2.009
1850.0,1.873,1.816
1900.0,2.488,2.374
1950.0,2.233,2.168
