rank,ligand,best_score,n_poses,all_scores
1,EGFRm-009,-9.91,5,-9.91;-9.36;-8.81;-8.67;-8.61
2,EGFRm-002,-9.683,5,-9.68;-9.55;-9.41;-9.12;-8.84
3,EGFRm-011,-9.305,5,-9.30;-9.01;-8.91;-8.63;-8.45
4,EGFRm-001,-9.22,5,-9.22;-9.02;-8.81;-8.59;-8.55
5,EGFRm-003,-9.183,5,-9.18;-8.77;-8.56;-8.35;-8.22
6,EGFRm-008,-9.11,5,-9.11;-8.93;-8.59;-8.46;-8.44
7,EGFRm-012,-8.717,5,-8.72;-8.50;-8.22;-7.78;-7.58
8,EGFRm-014,-8.592,5,-8.59;-8.48;-8.40;-8.38;-8.30
9,EGFRm-007,-8.591,5,-8.59;-8.45;-8.39;-8.38;-8.13
10,EGFRm-004,-8.287,5,-8.29;-7.99;-7.95;-7.89;-7.88
